상품코드,상품명,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
RM204H007NY,유니버셜 멀티 컬러 스크런치(네이비) NAVY_F,A,13,33,28,157
10007720001,stripe slim rib knit-grey-onesize,B,73,41,71,168
9791196894467,고급 한자 교재1,A,26,26,99,287
9BDS0000210,그란디디에 다즐링홍차 설탕클렌징세럼 150ML,A,63,98,43,226
Stripe T/sh-Blue-M,스트라이프-블루,B,94,34,30,149
O2SBSD51009XXX,달리 숄더_BLACK,B,63,75,6,295
2101NF011,옛새 누드인포그 오 드 퍼퓸 11ML,A,80,80,28,219
O7SSSS01030245,헤리티지 스니커즈 DARK NAVY 245,A,5,7,50,27
O1FBCB01009XXX,캐리 크로스바디 BLACK,B,58,67,1,268
O9FPAC07123XXX,클레어 스트랩 PARADISE XXX,C,86,15,5,226
O1SCDR010090FR,SHIRTS COLLAR GATHER DRESS - BLACK 0FR,C,60,1,35,282
8809823070434,Handle Strap Laptop Pouch / iPad-16 inch사이즈: L(15-16인치 용) / 색상: 더스티로즈,C,27,93,77,6
10003620002,gingham simple short pants-skyblue-M,C,25,34,92,81
CMZ110519,스테인레스 끈 가로용,B,88,58,29,72
O1SBTT37009XXX,아미나 토트 BLACK,C,45,33,48,44
8809990414888,핸들 스트랩 노트북 파우치 L 코발트 블루,B,69,31,36,133
O1SPPW13099XXX,제마 폰월렛 SKY BLUE XXX,A,7,15,81,180
CMZ111455,긴바지블랙,C,7,51,66,168
Ballon Ball Cap (Red),Ballon Ball Cap (Red),A,58,52,58,82
358122321,SILVER Alpha 5W40,A,91,25,27,192
RM212S002IV250,RM212S002IVORY,A,87,17,90,154
900008,워터페인트 250ml 12색,A,54,56,61,222
CMZ111790,천해먹 그레이,A,5,89,56,257
O9SBCB81138XXX,로티새들크로스바디 BABY GREEN XXX,A,65,14,57,210
10000920002,싱글 브레스트 슬림핏 롱 코트-네이비-M,A,72,89,76,269
RM212W009NYM,선드라이 스퀘어넥 린넨 드레스,B,20,46,85,111
8809356270042,스킨미스트,A,80,76,33,133
8809990414888,핸들 스트랩 노트북 파우치 L 코발트 블루,A,91,96,84,56
O9FSSS01009240,데일즈 스니커즈 BLACK 240,C,36,60,60,230
O1FCLW02009066,LEATHER RUFFLE BOMBER BLACK,B,88,3,70,289
PP4_DT,PP보드,A,40,28,34,293
O0FBCB43048XXX,루키크로스바디 CLOUD,C,43,37,35,32
0133-21,액상병마개 푸어러,C,92,84,81,79
O2SPCC20130XXX,리아 카드케이스+VANILLA CREAM,A,23,40,81,281
10010220001,[TA212CT02P] A-line single long coat-greige-0,A,19,2,85,22
O1FSSS51003245,Alley Sneakers IVORY,C,73,53,9,130
COLOR_HR,색칠북_영웅,C,15,74,7,216
8802863124532,제이엠 비컴포르테,C,65,88,96,189
O1FBTT55130XXX,벨라 토트 VINILLA CREAM,C,84,4,59,111
7118409000125,열매 스티커,B,10,9,72,188
O1FSSS51003250,Alley Sneakers IVORY,C,28,64,98,299
O2SBBC29009XXX,알리 버킷+BLACK,B,29,73,9,150
RM204H008GD,데이지 플라워 헤어밴드 GOLD_F,B,90,83,88,128
Medium Bag(Blue),미디움 백-블루,B,95,58,90,40
O2SBSD39130XXX,벨 숄더_VANILLA CREAM,C,1,28,46,236
72SQ-010114,"포인트앤뷰 개인정보 보호필름 14"" W9",A,80,65,91,232
8809614952635,더퓨어로터스 연꽃잎 마스크 주름개선 [1box/5ea],C,17,25,57,221
CNLMULS001-V02,비트윈러브 틴티드 립 #RD01,C,98,55,54,157
900003,워터페인트 120ml 5색,B,77,91,40,279
8809664630101,베르벨라 다이아몬드 퍼프 시그니처 포 블랙(국내용),A,1,68,32,265
O0SBBC47009XXX,모르간 버킷 BLACK XXX,C,41,52,65,160
FULLSET01,full set (1.5kg*2+2kg*2+3kg*2),A,78,88,19,130
8809393501017,프루낵 화이트 초코 20개입,B,49,42,91,226
O6FBCB90009XXX,틴턴 BLACK XXX,B,46,22,94,91
O1FBTT31145XXX,조앤 토트-WAVE BLUE,A,23,71,19,140
RM204P0262PK,타임즈 업 앤 봄베이 노쇼삭스 2PK(블랙/크림) BLACK/CREAM_F,C,17,40,7,225
O2SBSP07009XXX,코니 쇼퍼_BLACK,B,32,98,81,184
8809079208490,더퓨어로터스 제주 보태니컬 아이크림,C,64,77,57,139
O9FSAK22009230,셀럽 엣지 첼시부츠 BLACK 230,C,95,78,26,203
8000070028685,원두커피: 2. 라바짜 구스토 포르테,C,97,94,30,126
VD-AF-001,악역의 엔딩은 죽음뿐 아크릴 액자 A.페넬로페,C,38,48,38,108
RM204J008GD,미정마야 버블드 클러스터 허기 이어링 GOLD_F,B,69,89,13,13
NBPV7F812P2513000,"KVRUSP1I, (25)Pink, 130",B,70,40,38,257
O1SBCB21118XXX,아니스 크로스바디 TOFFEE TAN XXX,C,61,58,26,203
8809738598627,드 메모리아 #09 람팡 (30ml),C,12,20,88,4
