,상품코드,상품,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
143,AB_SQ,아티바바 말랑이 세트,B,47,52,81,68
144,86542258,중급한자1,C,88,86,2,32
145,O0FBBP06009XXX,엘리백팩BLACK,A,80,62,54,110
146,8809990340224,세탁세제(다목적용),A,32,66,20,114
147,O0FPAC11002XXX,금속체인 토트 스트랩,C,19,75,83,86
148,3926909090,Silicone colander strainer ,B,75,53,57,286
149,CMZ110090,수직스크래쳐,C,69,71,14,83
150,8809614952611,더퓨어로터스 연꽃잎 마스크 피부진정 앤 미백 [1box/5ea],A,98,79,63,236
151,8809614952611,더퓨어로터스 연꽃잎 마스크 피부진정 앤 미백 [1box/5ea],A,28,98,55,294
152,8809614952611,더퓨어로터스 연꽃잎 마스크 피부진정 앤 미백 [1box/5ea],C,50,88,83,221
153,TRMMUCU002-V01,트라움하프트 컴포트 핏 쿠션 #22.5,A,62,67,21,33
154,900004,워터페인트 120ml 8색,B,70,46,85,222
155,5285001951833,Elegance Plus Shaving Gel 500ml,C,32,30,54,228
156,O2SGAC11014XXX,가죽 파우치_WARM GREY,A,78,20,87,268
157,8809990116430,알라뷰티 청열 약수크림,A,97,51,74,54
158,5285001951833,Elegance Plus Shaving Gel 500ml,A,67,91,67,164
159,NBPD8S530W10260,"U520DA, White, 260",B,32,96,28,90
160,7118409000003,나무 포스터,A,17,64,34,202
161,GNGHRTR002-V01,헤어 트리트먼트 머쉬룸 브라운,B,56,56,71,203
162,O0FBCB43048XXX,루키크로스바디 CLOUD,A,23,10,45,176
163,8809563706105,KMC크린에이디비말마스크(50매),A,12,77,93,110
164,AB-PC10,칼라컵10,A,90,52,75,231
165,8809793590154,쓰리블랜드오일 미니 그리너리,A,99,78,19,140
166,72SQ-010114,"포인트앤뷰 개인정보 보호필름 14"" W9",B,73,6,45,244
167,8809764510020,(1매) 프리스틴 KF94 마스크(새부리형/화이트),C,41,47,80,120
168,8809079207219,더퓨어로터스 제주 보태니컬 선크림,B,24,24,46,101
169,8809079207219,더퓨어로터스 제주 보태니컬 선크림,C,26,56,10,148
170,8809079207219,더퓨어로터스 제주 보태니컬 선크림,B,75,71,72,23
171,snfacvt06,사노핏 애플사이다비니거 포스트바이오틱스 6개월 분(1입),C,60,58,98,202
172,8809657119224,길라 롱웨어 디디 쿠션 #01,B,77,26,70,12
173,86542258,중급한자1,B,33,32,16,199
174,8809393501017,프루낵 화이트 초코 20개입,B,54,50,50,195
175,8000070021341,원두커피: 3. 라바짜 그란에스프레소,C,66,29,64,91
176,O0FPAC12002XXX,금속체인 토트 스트랩_SILVER,B,81,48,93,245
177,O1FBBC37009XXX,리즈 버킷 BLACK,A,44,40,81,143
178,O0FBCB43009XXX,루키크로스바디 BLACK,A,6,29,86,174
179,O0FBCB43048XXX,루키크로스바디 CLOUD,C,46,46,86,9
180,7118409000019,토킹피스 벌새,A,32,71,12,98
181,snfacvt06,사노핏 애플사이다비니거 포스트바이오틱스 6개월 분(1입),A,85,68,77,50
182,5285001951833,Elegance Plus Shaving Gel 500ml,A,41,67,40,131
183,EVA_BOY,렛츠페인트 물감찍기 (남아용)하늘색,B,71,30,36,223
184,GNGHRTR001-V01,헤어 트리트먼트 클리어 블랙,B,93,23,16,2
185,8000070021341,원두커피: 3. 라바짜 그란에스프레소,C,96,39,93,283
186,8809213857126,에센스&로션 세트,A,97,82,85,151
187,8809563706105,KMC크린에이디비말마스크(50매),A,29,36,46,74
188,0137-99,철제바구니,A,69,11,70,175
189,8809990414802,웨이브백 M 아이보리,C,29,7,69,102
190,8809823070434,Handle Strap Laptop Pouch / iPad-16 inch사이즈: L(15-16인치 용) / 색상: 더스티로즈,A,82,31,25,255
191,8809764510020,(1매) 프리스틴 KF94 마스크(새부리형/화이트),B,5,97,52,27
192,72SQ-021133,포인트앤뷰 스탠바이미  BLC 27인치,C,9,54,41,129
193,NKPM5S541B0M130,"KA207BOI(재고이관), M, 130",A,96,9,6,76
194,O1FBBC37009XXX,리즈 버킷 BLACK,B,97,40,52,28
195,O1FBCB37116XXX,리사 크로스바디 SHADOW YELLOW XXX,B,60,9,29,185
196,O0FBCB43048XXX,루키크로스바디 CLOUD,B,87,93,37,280
197,O0FBCB43009XXX,루키크로스바디 BLACK,C,3,53,42,104
198,O0FBCB43004XXX,루키크로스바디 CREAM,A,23,36,35,231
199,O0FBCB43009XXX,루키크로스바디 BLACK,C,18,24,8,63
200,9BDS0000110,그란디디에 다즐링홍차 크림리추얼 80ML,C,12,36,63,71
201,900114,스핀아트 ,B,68,87,26,95
202,8000070043206,원두커피: 2. 라바짜 골드셀렉션,A,73,16,24,164
203,O0FBBP06009XXX,엘리백팩BLACK,A,89,44,77,169
204,O0FBCB43048XXX,루키크로스바디 CLOUD,C,36,90,6,174
205,O1FBCB37116XXX,리사 크로스바디 SHADOW YELLOW XXX,B,20,52,62,62
206,8809764510037,(1매) 프레쉬힐 KF94 마스크(새부리형/블랙),B,58,64,5,185
207,7613036957106,스타벅스 하우스 블렌드 10캡슐,C,29,41,87,127
208,8809990310708,청심청결 올인원 식기세척기,C,48,32,11,250
209,8809990325108,까미모 헤어로스 프로페셔널 샴푸,B,53,85,34,190
210,8809563068340,베지크 슈퍼 화이트닝 세럼,B,2,38,7,238
211,BL2101,버튼립스틱 01.엘레강스레드,A,97,47,51,155
212,O9SBCB81150XXX,로티 새들 크로스바디+SPACE BLUE,B,33,83,2,212
213,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,C,94,96,83,218
214,O1SBBC70130XXX,마틀렌 버킷 VANILLA CREAM XXX,B,17,4,60,269
215,6261108513920,샤프란 향신료 황동 3g,A,51,26,41,240
216,O0FBCB82009XXX,로티 크로커 크로스바디BLACK,B,48,61,86,171
217,O1FBTT14078XXX,사나 미니 토트+BEIGE,A,36,47,54,199
218,O0FBCB43009XXX,루키크로스바디 BLACK,C,28,26,11,217
219,0081010,PET BED-Grey 385,B,72,53,27,169
220,9BDS0000110,그란디디에 다즐링홍차 크림리추얼 80ML,B,1,71,10,118
221,5285001951833,Elegance Plus Shaving Gel 500ml,A,3,54,33,5
222,GNGHRSP001-V01,고잉그레이 샴푸 하이 컬러,A,51,96,32,219
223,8809990340248,세탁세제(유아용-유향),C,98,46,28,94
224,0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",A,57,45,9,273
225,LFW21LBK,프레즐 라지 블랙,B,22,5,29,73
226,900002,빅아트세트,A,52,52,28,199
227,6261108513920,샤프란 향신료 황동 3g,C,49,21,79,12
228,10012920002,[2차 리오더] [TA221JK04P] snow white classic jacket-ivory-1,C,64,10,40,163
229,CNLCLFO001-V02,뉴 애플 그래뉼 클렌징 폼,B,29,59,72,106
230,72SQ-010221,"포인트앤뷰 개인정보 보호필름 21.5"" W9",A,80,71,94,201
231,86542258,중급한자1,B,31,91,79,85
232,8809990310715,청심청결 데일리 다목적 살균 세정제 ,C,91,31,91,187
233,2111DK000,옛새 디스커버리 키트(샘플),C,42,32,51,204
234,8809079207219,더퓨어로터스 제주 보태니컬 선크림,B,95,54,85,108
235,9BDS0000110,그란디디에 다즐링홍차 크림리추얼 80ML,A,25,8,59,86
236,72SQ-010116,"포인트앤뷰 개인정보 보호필름 16"" W9",B,85,26,57,43
237,8809772780088,제주 연꽃잎 무실리콘 지성 샴푸 260ml,C,40,1,84,282
238,8802863124525,제이엠셀레늄아연,B,80,58,42,61
239,FULLSET01,full set (1.5kg*2+2kg*2+3kg*2),C,56,33,14,134
240,0214-16,더퓨어로터스 발효 에센스&크림 듀얼 파우치,A,80,18,21,64
241,0214-16,더퓨어로터스 발효 에센스&크림 듀얼 파우치,C,67,5,34,115
242,O0FBCB43004XXX,루키크로스바디 CREAM,A,22,39,10,260
243,8809309727050,제이엠아르기닌4000,C,7,58,72,171
244,6261108513920,샤프란 향신료 황동 3g,C,76,72,90,80
245,O1FBCB01009XXX,캐리 크로스바디 BLACK,A,39,62,92,287
246,O1FBTT13004XXX,안나 미니 토트 CREAM,C,19,72,6,16
247,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,C,8,56,1,141
248,O0FBCB43009XXX,루키크로스바디 BLACK,A,76,81,37,244
249,O0FBCB43009XXX,루키크로스바디 BLACK,A,82,31,10,6
250,7118409000019,토킹피스 벌새,C,16,97,91,153
251,NS241507,논현동 영양진 삼계죽,A,20,74,54,147
252,8809375786487,십일장생 프로젝트(박스),B,5,92,49,184
253,8809990340224,세탁세제(다목적용),C,46,45,42,269
254,CMZ110496,쇠 흡착판,C,31,91,23,201
255,8809990340248,세탁세제(유아용-유향),B,79,91,96,230
256,0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",C,30,34,18,213
257,8809990414802,웨이브백 M 아이보리,C,88,44,36,44
258,AB_COBF,CO_나비(솜),C,89,91,95,206
259,O0FBCB43048XXX,루키크로스바디 CLOUD,C,61,93,90,249
260,20HAOUMOR,"[하울팟]아웃도어 하네스,M,오렌지",B,96,81,38,204
261,8809375786487,십일장생 프로젝트(박스),B,20,68,49,56
262,O1FSSS51003230,Alley Sneakers IVORY,C,33,29,71,96
263,O1FBBC27017XXX,카일리 버킷 LAVA RED,C,78,66,47,207
264,Love ya T/sh-M-grey-M,러브야-멜란지 그레이,A,11,33,19,39
265,O0FBCB43004XXX,루키크로스바디 CREAM,C,51,14,37,167
266,AB_WP_30,WP_30_6 워터페인트 DECO 6색,A,19,88,92,217
267,0210SET7,"4종세트-크림 1,반지롱세럼 1,에센스 1,스킨",A,65,86,93,133
268,8809375786487,십일장생 프로젝트(박스),A,1,13,97,145
269,8809990310715,청심청결 데일리 다목적 살균 세정제 ,C,44,29,46,9
270,O0FBCB43009XXX,루키크로스바디 BLACK,B,96,93,25,185
271,O0FBCB43004XXX,루키크로스바디 CREAM,C,48,17,63,175
272,5285001951833,Elegance Plus Shaving Gel 500ml,B,15,66,81,12
273,8809990340248,세탁세제(유아용-유향),C,65,37,17,193
274,O1FBSP63009XXX,램지L LG 쇼퍼 BLACK,B,7,3,86,72
275,O1SBBC02130XXX,테일러버킷 VANILLA CREAM,B,54,17,94,184
276,O2SBTT58048XXX,델라 토트_CLOUD,A,3,50,71,134
277,O2SBSD51048XXX,달리 숄더_CLOUD,A,3,19,28,212
278,O7SSSS01009225,헤리티지 스니커즈 BLACK 225,B,23,95,91,283
279,O1FBSD06139XXX,제인숄더 FOSSIL TAUPE,B,48,75,48,60
280,Sweatshirts Brown=XL,Ballon Sweatshirts (Brown)(사이즈=XL),A,72,33,73,129
281,8809990325108,까미모 헤어로스 프로페셔널 샴푸,A,76,73,47,111
282,8809990340224,세탁세제(다목적용),C,98,81,38,44
283,8809990325108,까미모 헤어로스 프로페셔널 샴푸,C,18,14,16,299
284,8809990340224,세탁세제(다목적용),C,75,22,6,193
285,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,A,21,42,6,86
286,86542258,중급한자1,B,74,20,88,118
287,8809990325115,까미모 헤어로스 프로페셔널 워터 트리트먼트,B,58,40,21,275
288,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,A,53,58,19,119
289,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,A,31,70,97,7
290,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,B,65,54,69,176
291,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,C,61,19,40,293
292,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,B,64,65,79,27
293,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,B,53,51,46,250
294,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,C,21,96,66,222
295,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,A,15,19,19,9
296,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,A,53,24,24,112
297,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,C,22,57,73,92
298,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,A,47,86,29,221
299,8809079206854,더퓨어로터스 제주 연꽃잎 에센스,C,96,75,44,190
300,O0FBBP06009XXX,엘리백팩BLACK,C,4,12,19,247
301,0159-001,MOCAR 차량용 스티커,C,2,54,61,53
302,86542258,중급한자1,B,50,62,9,118
303,024463061095,후이펑 스리라차 中 482g,C,51,12,2,99
304,s0030,사노그래프 린앤컷 마이 애사비 구미,B,5,86,97,198
305,O0FBCB43009XXX,루키크로스바디 BLACK,A,27,22,26,139
306,CMZ110496,쇠 흡착판,C,89,15,1,67
307,8809744190235,구디즈 쉴드 KF94 마스크(1매)(그레이/회색),B,60,29,67,2
308,0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",B,6,16,67,153
309,7118409000011,이음카드[사진편],B,78,21,83,88
310,CMZ110724,우유팩흰우유,C,89,76,70,166
311,802980111116,히말라야 핑크솔트,C,35,11,13,176
312,AB_DOT10SET,도트10색 세트,B,22,63,72,157
313,8809393501017,프루낵 화이트 초코 20개입,A,85,95,9,108
314,8809990340248,세탁세제(유아용-유향),C,45,22,24,210
315,7118409000012,이음카드[그림편],B,59,49,48,87
316,8809668703849,비타민C 포뮬러 7포,C,17,97,59,157
317,7118409000224,사진카드(질문편),B,93,20,71,123
318,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,B,15,36,48,106
319,O0FBBP06009XXX,엘리백팩BLACK,B,95,74,65,47
320,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,B,60,7,62,181
321,O1FBBC37117XXX,리즈 버킷 MIST,B,59,42,69,139
322,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,C,20,11,86,275
323,O2SBTT34133XXX,바히아 캔버스 미니 토트_SAND BROWN,A,65,86,36,280
324,O1FBBC27139XXX,카일리 버킷 FOSSIL TAUPE,B,4,14,69,251
325,O1FBTT03009XXX,테일러 미니 토트 BLACK,C,99,94,18,33
326,O1SBTT37009XXX,아미나 토트 BLACK,C,34,52,2,195
327,O0FBCB43048XXX,루키크로스바디 CLOUD,C,46,76,28,262
328,O0FPAC11002XXX,금속체인 토트 스트랩,B,24,75,3,251
329,O1SBSD10009XXX,미나 숄더 BLACK XXX,B,93,81,40,173
330,O2SBSD59044XXX,마라케시 2 숄더_MIDNIGHT,B,65,23,23,150
331,O0FBCB43009XXX,루키크로스바디 BLACK,A,33,1,16,178
332,O1FBSP53009XXX,지지 쇼퍼 BLACK,C,86,30,60,59
333,O2SBCB46117XXX,루키 크랙 크로스바디-MIST,C,66,21,43,145
334,O1SBCB24130XXX,엘프나 크로스바디 VANILLA CREAM XXX,B,25,46,3,33
335,O1FBCB39141XXX,빌리 크로스바디 LEAF OLIVE,C,7,27,33,68
336,CMZ110090,수직스크래쳐,A,89,71,7,202
337,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,B,46,73,69,180
338,O0FBCB43004XXX,루키크로스바디 CREAM,B,29,6,36,225
339,5285001951833,Elegance Plus Shaving Gel 500ml,A,46,78,43,277
340,10000920002,싱글 브레스트 슬림핏 롱 코트-네이비-M,A,9,67,14,253
341,86542258,중급한자1,B,67,20,99,155
342,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,A,5,81,56,103
343,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,C,81,57,39,184
344,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,C,4,77,6,291
345,O0SBTT02122XXX,테일러 볼 ROSETTE XXX,A,1,36,86,11
346,O0SBTT02122XXX,테일러 볼 ROSETTE XXX,C,95,26,42,80
347,O0FPAC11002XXX,금속체인 토트 스트랩,A,20,38,9,33
348,8809990340224,세탁세제(다목적용),B,95,8,37,170
349,BL2103,버튼립스틱 07.퓨어코랄,A,20,87,14,100
350,8809356270011,Mayu Cream  30ml(향),C,4,26,93,24
351,O0FBCB43150XXX,루키 크로스바디-SPACE BLUE,C,25,91,88,187
352,O8FBCB21009XXX,제라드 크로스바디 BLACK XXX,B,4,7,8,276
353,O1FBCB37231XXX,리사 크로스바디 DEEP GREEN,A,56,48,78,96
354,O1FBCB44009XXX,루키 LG 크로스바디 BLACK XXX,A,15,80,16,122
355,O2SBSD51048XXX,달리 숄더_CLOUD,C,41,93,99,39
356,O0FBBP06009XXX,엘리백팩BLACK,A,69,94,28,95
357,O0FBCB43004XXX,루키크로스바디 CREAM,C,46,90,95,55
358,O0SBBC47009XXX,모르간 버킷 BLACK XXX,B,33,60,11,77
359,O0FPAC11002XXX,금속체인 토트 스트랩,B,89,37,15,123
360,O1FBCB37048XXX,리사 크로스바디 CLOUD XXX,C,80,79,65,139
361,O0FBCB43004XXX,루키크로스바디 CREAM,C,69,82,24,158
362,8809764510020,(1매) 프리스틴 KF94 마스크(새부리형/화이트),A,94,28,79,90
363,IN-MS-001,인소의 법칙 문구세트 _함단이,B,74,68,36,123
364,Ballon Ball Cap (Navy),Ballon Ball Cap (Navy),B,14,72,90,211
365,O0FBBP06009XXX,엘리백팩BLACK,B,31,14,87,299
366,0214-16,더퓨어로터스 발효 에센스&크림 듀얼 파우치,A,70,57,13,89
